Index	text	level
10	5 Praktische tips voor informatiebeveiliging 14-10-2019 09:01:23 boat-chain-dawn-119562.jpg Informatiebeveiliging is belangrijker dan ooit maar in de praktijk ligt de focus nog onvoldoende op de menselijke kant. Waar moet je als organisatie op letten naast het inzetten van technische tools voor het beveiligen van jouw netwerk? In deze blog geven wij je 5 praktische tips die je snel en eenvoudig binnen jouw organisatie kunt toepassen. Gebruik een passwordmanager en –generator We kunnen het niet vaak genoeg zeggen: maak gebruik van passwordmanagers en -generators. We begrijpen dat het ondoenlijk is om al die unieke wachtwoorden te onthouden, zeker niet wanneer er allerlei voorwaarden aan verbonden zijn. Het is daarom verstandig om medewerkers te informeren en adviseren over tools die beschikbaar zijn hiervoor. Een wachtwoordbeleid moet werkbaar zijn om te voorkomen dat mensen er omheen gaan werken. Als u van werknemers vraagt de wachtwoorden elke maand te veranderen, 20 karakters te gebruiken en uniek te blijven, dan is de kans vrij groot dat er overal post-its geplakt worden om ze allemaal te onthouden. Zijn maatregelen werkbaar, dan is de kans vele malen kleiner dat mensen bedrijfswachtwoorden bijvoorbeeld ook buiten de bedrijfsserver gaan gebruiken. Maak back-ups en pas encryptie toe Back-ups van het bedrijfsnetwerk worden in de meeste gevallen goed geregeld door de IT-afdeling. Wat veel werknemers echter vergeten is dat de lokale schijf van de pc vaak niet automatisch geback-upt wordt.	B2
11	6 ondernemerslessen die je kunt leren van de nieuwste generatie Apple producten Mark Vletter op 13 november 2020 De aankondigingen van de nieuwe Apple producten: of je nu een tech enthousiast bent of niet, ze waren niet te missen de laatste tijd. Als nerd kijk ik naar Apple vanuit een gadget perspectief. Maar als ondernemer kijk ik anders naar het bedrijf. Dit zijn de 6 lessen die Apple je kan leren over productontwikkeling en marketing, inclusief een les die je volgens mij vooral niet moet willen kopiëren. 1. Goede architectuur wint De kern van een MacBook en elke andere Apple computer draait op MacOS. Dit MacOS besturingssysteem is gebaseerd op Unix en een kern die Darwin heet. Apple heeft op basis van deze componenten een zeer sterke software-architectuur gemaakt. Die architectuur is zo sterk, dat Apple in staat is om het brein van de computer – de processor/CPU – én de taal die ze spreekt te vervangen door een eigen ontworpen CPU. De reden hiervoor is dat Apple al jaren een eigen CPU maakt voor de iPhone. Die CPU is zo volwassen, dat Apple het gevoel heeft dat een chip op basis van hetzelfde ontwerp nu ook volwassen genoeg is voor haar MacBooks. Dit maakt Apple volledig onafhankelijk van CPU leverancier Intel. Dat is een groot pluspunt. Computerupdates zijn meestal direct gekoppeld aan CPU-updates en Apple is nu volledig vrij	B2
12	Aanbestedingsprocedurebeleid Als het gaat om aanbesteden, is Rijkswaterstaat gebonden aan de wettelijke kaders. Zo is er een EG-richtlijn om overheidsopdrachten te plaatsen voor werken, diensten en leveringen (2014-24-EU). Deze richtlijn vormt het huidige kader voor opdrachten boven de Europese drempelwaarden. De drempelwaarden worden elke 2 jaar opnieuw vastgesteld en zijn te vinden, op de website van PIANOo. De EG-richtlijn is in Nederland geïmplementeerd via de Aanbestedingswet 2012, laatstelijk gewijzigd bij wet van 22 juni 2016. Regelgeving en aanbestedingsreglement De Aanbestedingswet 2012, het Aanbestedingsbesluit en de Gids Proportionaliteit zijn van toepassing op alle aanbestedingen. Rijkswaterstaat heeft ervoor gekozen bij opdrachten voor Werken boven de drempel als aanbestedingsreglement het Aanbestedingsreglement Werken (ARW) 2016 toe te passen. Bij opdrachten voor Werken beneden de drempel is toepassing van het ARW 2016 door de wetgever verplicht gesteld. Bij diensten en leveringen kan het ARW 2016 ook worden toegepast, maar is dit niet verplicht, zodat het ook mogelijk is dat bij deze aanbestedingen een ander reglement gebruikt wordt. Wijzigingen procedures Om de markt meer ruimte te geven, is binnen de Grond-, Weg- en Waterbouw (inkoopdomein GWW) een aantal onderdelen in de aanbestedingsprocedures aangepast: U krijgt meer voorbereidingstijd voor een inschrijving. Er zijn in principe twee inlichtingenrondes. Het is mogelijk om individueel inlichtingen te krijgen, als dat noodzakelijk is om de commerciële belangen te beschermen. 	C1+
13	1 Het bepaalde bij of krachtens deel 3 van deze wet is van toepassing op het plaatsen van speciale-sectoropdrachten met het oog op: a.het beschikbaar stellen of exploiteren van vaste netten, bestemd voor openbare dienstverlening op het gebied van de productie, het vervoer of de distributie van gas of warmte; b.de gas- of warmtetoevoer naar netten als bedoeld in onderdeel a. 2 De toevoer van gas of warmte naar netten bestemd voor openbare dienstverlening door een overheidsbedrijf dan wel een bedrijf of instelling waaraan door de staat, een provincie, een gemeente, een waterschap of een publiekrechtelijke instelling een bijzonder recht of een uitsluitend recht is verleend, valt niet onder de activiteiten, bedoeld in het eerste lid, onderdeel b, indien: a.de productie van gas of warmte door het in de aanhef bedoelde overheidsbedrijf, bedrijf of de instelling het onvermijdelijke resultaat is van de uitoefening van een andere activiteit dan een activiteit als bedoeld in het eerste lid of in de artikelen 3.2, 3.3, 3.4, 3.5 of 3.6, en b.de toevoer naar het voor openbare dienstverlening bestemde net tot doel heeft deze productie op economisch verantwoorde wijze te exploiteren en niet meer bedraagt dan 20% van de omzet van het in de aanhef bedoelde overheidsbedrijf, bedrijf of instelling, berekend over het gemiddelde van de laatste drie jaren, met inbegrip van het lopende jaar.	C2
14	Vanaf je geboorte beschik je over een afweersysteem tegen ziektes. Dat aangeboren systeem is aspecifiek. Het herkent geen aparte aanvallers en bouwt ook geen geheugen op. Het is wel razend snel in het vernietigen van de ziekteverwekkers. Je tranen doden bacteriën, maar je lichaam onthoudt het niet. Elke keer reageert je lichaam weer met een ontstekingsreactie op een splinter die binnenkomt via de huid. In de loop van je leven komen veel antigenen, cellen of stoffen die een afweer reactie oproepen, binnen. Van een aantal onthoudt je lichaam de vorm. Die specifieke afweer bouw je in de loop van je leven op tegen speciale antigenen. Op den duur herkent je lichaam die antigenen; het immunologisch geheugen. De verworven specifieke afweer kan dus pathogenen van elkaar door hun vorm en structuur ‘te onthouden’. Deze afweer heeft twee vormen. Bij de cellulaire afweer gaat het vooral om virussen en geïnfecteerde cellen die vernietigd worden. De humorale afweer (humor=bloed) zorgt ervoor dat er specifieke antistoffen tegen een antigeen worden gevormd. Die antistoffen maken het antigeen onschadelijk. Cellulaire en humorale afweer werken samen.	B2+
15	Moet ik aangifte erfbelasting doen? We sturen een brief waarin staat of de erfgenamen aangifte moeten doen of niet. Dit doen we binnen 4 maanden na het overlijden. We sturen de brief naar 1 van de erfgenamen, meestal de partner of het oudste kind van de overledene. In de brief staat ook hoe u aangifte erfbelasting doet en wanneer de aangifte bij ons binnen moet zijn. Blijkt uit het testament of een verklaring van erfrecht dat een executeur of een notaris gemachtigd is om de aangifte erfbelasting in te vullen? Dan sturen wij de aangiftebrief naar die gemachtigde. Doe altijd aangifte als u meer erft dan het vrijgestelde bedrag Want dan moet u erfbelasting betalen. Met het hulpmiddel Erfbelasting berekenen controleert u eenvoudig of dat zo is.	B2
16	Bij haar toepassing op de Voedsel- en Landbouworganisatie van de Verenigde Naties (hierna te noemen „de Organisatie”) zullen de standaardbepalingen met inachtneming van het hieronder bepaalde van kracht zijn: 1.Artikel V en § 25, lid 1 en 2(I) van Artikel VII zullen ook gelden voor de Voorzitter van de Raad van de Organisatie, met die uitzondering dat elke opheffing van de immuniteit van de Voorzitter krachtens § 16 zal geschieden door de Raad van de Organisatie. 2. (i)Deskundigen (behalve de functionarissen vallend onder Artikel VI) die zitting hebben in commissies van, of zendingen vervullen voor, de Organisatie zullen de volgende privileges en immuniteiten worden toegekend voor zover deze noodzakelijk zijn voor een doeltreffende uitoefening van hun functies, met inbegrip van de tijd gebruikt voor reizen in verband met de uitoefening van hun functies in die commissies of bij het vervullen van die zendingen: (a)immuniteit van persoonlijke arrestatie of van inbeslagneming van hun persoonlijke bagage; (b)met betrekking tot door hen in de uitoefening van hun officiële functies gesproken of geschreven woorden of door hen verrichte handelingen, vrijstelling van elke vorm van rechtsvervolging; deze immuniteit zal toegekend blijven ook wanneer de betrokken personen niet langer hun functies in de commissies van de Organisatie uitoefenen of zendingen vervullen voor de Organisatie; (c)dezelfde faciliteiten met betrekking tot beperking nopens geld of het wisselen van geld en	C1+
17	Aan de verdachte is tenlastegelegd dat: 1. hij op of omstreeks 31 oktober 2019 te Grave, door geweld of een andere feitelijkheid en/of bedreiging met geweld of een andere feitelijkheid, te weten door het onverhoeds steken van zijn hand tussen de benen en/of langs/tegen de binnenkant van het bovenbeen omhoog bewegen van die hand tot op het schaambeen, [benadeelde partij] heeft gedwongen tot het dulden van een of meer ontuchtige handelingen, te weten het betasten en/of aanraken van de binnenkant van haar bovenbeen en/of haar schaambeen en/of schaamstreek; 2. hij op of omstreeks 31 oktober 2019 te Grave de eerbaarheid heeft geschonden op een niet openbare plaats, te weten in een ambulancevoertuig, terwijl een ander, te weten [benadeelde partij] , daarbij haars ondanks tegenwoordig was, door zijn broek en/of onderbroek naar beneden te trekken en/of die [benadeelde partij] zijn geslachtsdeel te tonen.	C1
18	Installatie Om de afwasautomaat goed te laten functioneren moet hij vakkundig worden aangesloten. De gegevens van watertoevoer en waterafvoer en de elektrische aansluitwaarden moeten met de vereiste criteria overeenkomen zoals deze in de volgende alinea’s resp. in het montagevoorschrift zijn beschreven.Bij de montage de juiste volgorde van de handelingen aanhouden: – Bij aflevering controleren – Plaatsen – Aansluiten op de waterafvoer – Aansluiten op de watertoevoer – Elektrische aansluiting Veiligheidsvoorschriften – Het apparaat volgens het installatie- en montagevoorschrift plaatsen en aansluiten. – Tijdens het installeren mag de afwasautomaat niet op het elektriciteitsnet zijn aangesloten. – Overtuig u ervan dat het aardingssysteem van de elektrische huisinstallatie volgens de elektrotechnische voorschriften is geïnstalleerd. – De elektrische aansluitvoorwaarden moeten overeenkomen met de gegevens op het typeplaatje 9* van de afwasautomaat. – Als de elektrische aansluitkabel van het apparaat beschadigd wordt, dan moet deze door een speciale aansluitkabel vervangen worden. Om gevaren te voorkomen mag deze alleen door de Servicedienst vervangen worden. – Als de afwasmachine in een hoge kast moet worden ingebouwd, dan moet deze volgens de voorschriften bevestigd worden. – Voor een goede stabiliteit van het apparaat mogen integreerbare of onderbouwapparaten alleen onder een doorlopend werkblad worden ingebouwd dat aan de kasten ernaast is vastgeschroefd.	B2+
19	We hebben een aantal maatregelen genomen. Dit doen we om bezoekers en medewerkers te beschermen en verdere verspreiding te voorkomen. Houd 1,5 meter afstand en draag een mondkapje. Was/desinfecteer handen regelmatig. Blijf thuis bij neusverkoudheid, hoesten, keelpijn of koorts. Schud geen handen. Regel zoveel mogelijk online Veel producten en diensten kunt u online bij ons aanvragen. Wij vragen u om dit dan ook zo veel mogelijk te doen. Op deze pagina’s staan ook aanvullende maatregelen als dit van toepassing is voor uw gevraagde product of dienst. Komt u langs in onze gebouwen? Wij vragen u de aanwijzingen in het gebouw te volgen en afstand te houden. Uit voorzorg hebben wij op alle balies plexiglas schermen geplaatst. Voor de meeste producten en diensten is een afspraak nodig. Hebt u een afspraak? Wij vragen u niet eerder dan 15 minuten voor uw afspraak bij ons lang te komen. Kom zo veel mogelijk alleen. Kunt u niet, zeg dan ook uw afspraak af. Hebt u hulp nodig? Hebt u gezocht op onze website, maar komt u er niet uit of weet u niet precies waar u uw vraag moet stellen? Neem dan contact op met 14 030. Wij helpen u graag verder. Wilt u liever langskomen? Dan kan ook. Kom dan langs bij het servicepunt op het stadskantoor.	B1
20	De tweede bel is gegaan. De meeste leerlingen zitten in de klas, sommigen lopen nog rond. Ik zet de waterkoker aan omdat warm water altijd handig is voor proefjes over warmte. En zet ook de pan met water maar op het vuur. Ik sluit de brander aan voor het geval iemand die wil gebruiken. Op een kar staan kratjes met materiaal waarvan ik er paar op tafel zet. De les lijkt niet te willen beginnen. De pauze moet er eerst nog even uit gepraat worden. Na een paar minuten vraagt een groepje leerlingen of ze proef vijf punt drie mogen doen. En dan gaat het ineens snel. Iedereen realiseert zich dat er iets moet gebeuren. “Waar waren we ook alweer?” Het groepje dat “vijf punt drie” wil doen pakt de spullen uit de krat waar “5.3” opstaat en gaat weer zitten. Ze zitten met hun mobiel in de hand en bekijken de opdracht nog eens goed. Ze hebben het duidelijk niet voorbereid maar gaan toch aan de slag.	B1
21	Ongeacht het vak dat je geeft, ontdek je als leraar vrij snel dat een leerling bij iedere vraag die hem gesteld wordt drie mogelijke antwoorden kan geven: een goed, een fout of een absurd antwoord. Daniel Pennac beschrijft in zijn boek Schoolpijn (blz 126) mogelijke antwoorden die leerlingen kunnen geven. Goede antwoorden zijn natuurlijk altijd fijn. Foute antwoorden zijn altijd op een serieuze gedachte gebaseerd. Absurde antwoorden zijn op geen enkele gedachte gebaseerd. Volgens Pennac zijn absurde antwoorden vaak een automatisme, een reflex. De leerling maakt geen fout maar antwoord zomaar wat. De leerling beantwoord niet de vraag die gesteld is, maar reageert omdat er een vraag gesteld is. De leerling heeft geen idee waar het over gaat maar wil niet onbeleefd zijn. En geeft dus een antwoord. Het absurde antwoord is een diplomatieke manier om te zeggen dat je iets niet weet terwijl je probeert een verbinding in stand te houden. Pennac geeft aan dat je absurde antwoorden nooit mag “belonen” (met een slechte beoordeling) omdat leerlingen de absurde antwoorden dan blijven geven. Ze weten dan wel dat het een slecht resultaat oplevert, maar hoeven zich in ieder geval niet te verdiepen in de lesstof of te bekennen dat ze er nog niet veel van begrijpen. Absurde antwoorden moeten normaal behandeld worden.	A2+
22	Bij de geboorte van uw eerste kind kunt u kiezen of uw kind de achternaam van de moeder of die van de vader of duomoeder krijgt. De informatie op deze pagina gaat over situaties naar Nederlands recht. Als het kind niet de Nederlandse maar een andere nationaliteit heeft, wordt de achternaam bepaald naar het namenrecht van dat land. Om naamskeuze vast te leggen komt u samen naar Burgerzaken. Dit kan voor de geboorte of tijdens de geboorteaangifte. Welke achternaam krijgt uw kind? Uw kind krijgt bij de geboorte automatisch de achternaam van de vader of duomoeder, of moeder. Als het kind op die manier niet de naam krijgt die u wilt, moet u naamskeuze doen voor de naam van de andere ouder. De achternaam die u kiest voor uw eerste kind, geldt ook voor alle volgende kinderen van dezelfde ouders. Als de achternaam eenmaal is vastgelegd kan deze meestal niet meer veranderd worden. Meenemen naar uw afspraak - geldig identiteitsbewijs van beide ouders - beide ouders moeten in persoon aanwezig zijn Huwelijk of geregistreerd partnerschap van man en vrouw Binnen een huwelijk of geregistreerd partnerschap van een man en een vrouw krijgt het kind automatisch de achternaam van de vader. Wilt u dit niet, dan kunt u uiterlijk bij de aangifte van geboorte naamskeuze doen voor de achternaam van de moeder. Het heeft de voorkeur om dit tijdens de zwangerschap al te regelen.	B1
23	Met deze brief informeren wij u over de voortgang in het wegwerken van achterstallig onderhoud op wegen in gemeente Weesp. In 2017 en 2018 heeft provincie Noord-Holland aandacht gevraagd voor achterstanden aan het onderhoud van de openbare infrastructuur in onze gemeente, waaronder de wegen (rijbaan, fietspad, trottoir, parkeervak). Als reactie hierop heeft de raad op 11 juli 2018 gesteld dat na een periode van vier jaar er geen achterstallig onderhoud meer mag zijn. Dit om kapitaalvernietiging en onveilige situaties als gevolg van wegschades te voorkomen. Om dit doel te bereiken heeft de raad besloten de benodigde budgetten en een investeringsruimte beschikbaar te stellen en een voorziening groot onderhoud ingesteld. Sinds bovengenoemd besluit heeft u in diverse commissievergaderingen gevraagd naar het wegwerken van achterstallig onderhoud op de wegen. Wij hebben toegezegd u op de hoogte te houden over de voortgang van het onderhoud op specifieke wegen en in te gaan op de aanpak van de losse tegelproblematiek. Op 12 oktober 2020 hebben wij u voor het laatst geïnformeerd over de stand van zaken.	B2
24	Het Actiecentrum Veiligheid en Zorg is één van de 30 Zorg- en Veiligheidshuizen die er in Nederland zijn voor de aanpak van complexe casuïstiek op het snijvlak van veiligheid en zorg en/of sociaal. Het kan hierbij gaan om (jonge) veelplegers die inbreken of roofovervallen plegen. Of personen waarbij er signalen van radicalisering zijn. Voor het aanpakken van deze en andere complexe casuistiek kan men terecht bij het AcVZ Binnen het AcVZ is focus aangebracht en zijn gezamenlijk bestuurlijke keuzes gemaakt voor bepaalde groepen personen, gebieden en thema’s. Voorbeelden zijn de Top600, Top400, Detentie en Terugkeer, Treiteraanpak en de casuïstiekaanpak Radicalisering. Ook wordt er vanuit het AcVZ, net als in andere zorg- en veiligheidshuizen in het land, procesregie gevoerd op complexe casuïstiek. Het AcVZ kent hiervoor een loketfunctie waar professionals van alle convenantpartners terecht kunnen met complexe, vastgelopen casussen op het snijvlak van veiligheid, zorg en/ of sociaal.	C1+
