index	original
83	Dat is bijna twee maanden later dan normaal.
84	Dat komt door het corona-virus.
85	Er zijn nu veel besmettingen in Frankrijk.
86	Haalt de Ronde wel het einde in Parijs?
87	Op de eerste rit was er al pech.
88	Door de regen was de weg glad.
89	De Noor Kristoff won de eerste rit.
90	De Fransman Alaphilippe won op zondag.
91	Bernal uit Colombia is de grote favoriet.
92	Wint hij na vorig jaar weer de gele trui?
93	Greta uit Zweden is 17 jaar.
94	Ze gaat weer naar school.
95	Is dat nieuws?
96	Ja, want Greta is Greta Thunberg.
97	Greta was een jaar niet op school.
98	Ze voerde actie voor een beter klimaat.
99	Dat deed ze in de hele wereld.
100	Ze ging praten met machtige mensen.
101	Dat maakte Greta heel beroemd.
102	Greta is een voorbeeld voor veel jongeren.
103	En nu is ze weer één van hen.
104	Op 18 maart ging ons land voor een maand dicht.
105	Dat besliste de regering tegen corona.
106	Dat maakte het verkeer veel minder druk en minder gevaarlijk.
107	De dienst voor veilig verkeer VIAS onderzocht de eerste helft van 2020.
108	Er vielen in het verkeer in België 43 doden minder dan in 2019.
109	In Vlaanderen ging het om 12 doden minder.
110	Die kan besmettingen voorkomen.
111	Heb jij zin om terug naar school te gaan? Veel plezier!
112	De douane denkt erover om bijen te laten zoeken naar drugs.
113	Vooral via de haven van Antwerpen komt veel cocaïne ons land binnen.
114	Smokkelaars verstoppen hun drugs steeds beter.
115	Bijen kunnen helpen om ze toch te vinden.
116	De insecten ruiken wel 100 keer beter dan een hond.
117	Ze kunnen ook heel snel de geur van drugs leren kennen.
118	Onderzoekers maakten een klein toestel met 36 bijen erin.
119	Dan laten ze dat merken.
120	De douane denkt erover om bijen te laten zoeken naar drugs.
121	Vooral via de haven van Antwerpen komt veel cocaïne ons land binnen.
122	Smokkelaars verstoppen hun drugs steeds beter.
123	Bijen kunnen helpen om ze toch te vinden.
124	De insecten ruiken wel 100 keer beter dan een hond.
125	Ze kunnen ook heel snel de geur van drugs leren kennen.
126	Onderzoekers maakten een klein toestel met 36 bijen erin.
127	Dan laten ze dat merken.
128	De voetbal-ploeg Bayern München won zondag de finale van de Champions League.
129	De Duitse kampioen versloeg het Franse Paris Saint-Germain met 1-0.
130	Door corona was het een finale zonder publiek.
131	In de finale van de Europa League beleefde Romelu Lukaku een klein drama.
132	Hij bracht zijn ploeg Inter Milaan op voorsprong.
133	Lukaku had nog één doelpunt nodig.
134	Dan zou hij voor de club de meeste doelpunten ooit gemaakt hebben.
135	De Rode Duivel maakte ook dat doelpunt.
136	Maar dat deed hij per ongeluk in het doel van Inter Milaan.
137	Zo won het Spaanse Sevilla de finale met 3-2.
138	Lukaku was na de finale erg triest.
139	Hij wilde zijn medaille niet gaan afhalen.
140	Wout van Aert werd 20 augustus Belgisch kampioen tijdrijden.
141	Van Aert reed een halve minuut sneller dan Victor Campenaerts.
142	Frederik Frison werd derde.
143	Wout van Aert is duidelijk de wielrenner van het moment.
144	In de Franse Dauphiné was hij op 12 augustus de beste in de eerste rit.
145	En begin augustus won hij in Italië ook al de Strade Bianche en Milaan-Sanremo.
146	Die wedstrijden gaan in Italië normaal gezien door in maart.
147	Maar dat kon dit jaar niet.
148	Dat was door de uitbraak van het corona-virus.
149	De tweede golf van corona is nog niet voorbij.
150	Daarom blijven er regels gelden.
151	Die blijven nog altijd een beetje streng.
152	Zo zijn er de ‘bubbels’.
153	Dat is de groep van mensen die je vaak ziet buiten je woning.
154	Denk aan familie en goede vrienden.
155	Die bubbel mag nog altijd niet groter zijn dan vijf mensen voor de hele maand september.
156	Je mag wel nog andere mensen zien.
157	Dat mogen er nooit meer dan tien samen zijn.
158	En bij hen moet je altijd afstand houden.
159	Wat wordt er wel minder streng?
160	Je moet niet meer alleen naar de winkel.
161	Je mag winkelen met twee en zolang je wil.
162	Goed nieuws is er ook voor wedstrijden en optredens.
163	Die mogen nu dubbel zoveel bezoekers tellen.
164	Dat zijn 200 mensen binnen en 400 mensen in open lucht.
165	Afstand houden blijft er wel verplicht.
166	Ook scholen gaan voor iedereen en elke dag open vanaf 1 september.
167	Ben je ouder dan 12 jaar?
168	Dan moet je er wel een mondmasker dragen.
169	Neen, geen herhalingen!
170	Zijn vrienden van FC De Kampioenen willen hem met deze aflevering gedenken.
171	In de Amerikaanse stad San Francisco staat de Golden Gate-brug.
172	Die is heel beroemd.
173	Ze is rood en mooi.
174	Maar niet meer voor de mensen in de buurt.
175	De overheid liet dikke latten van de reling vervangen door dunne latten.
176	Zo kan de brug zonder problemen wind aan tot 160 kilometer per uur.
177	Voor de wind werkt de nieuwe reling als een soort fluit.
178	Ze maakt vreselijk gezoem.
179	Dat houdt bewoners naast de brug uit hun slaap.
180	Ze noemen het foltering.
181	Want het doet pijn aan de oren.
182	Onderzoekers geven hun fout toe.
183	Ze berekenden hoeveel wind de brug aankan.
184	Maar niet de muziek die ze maakt.
185	Antwerpen verwelkomt twee jonge witte neushoorns.
186	Zij hebben zonet hun intrek genomen in het park.
187	Om de dieren een ruime thuis te geven, voerde de dierentuin vernieuwingen door.
188	De Savanne is nu dubbel zo groot.
189	Klik op blauwe pijl voor een filmpje.
190	Tv-hond Samson kreeg een nieuw baasje.
191	Dat is Marie.
192	Zij volgt haar vader Gert op.
193	Vanaf 28 september komt de nieuwe reeks ‘Samson & Marie’ op tv.
194	Veel fans van ‘Samson & Gert’ waren benieuwd.
195	Zouden andere personages uit de oude reeks ook meedoen in de nieuwe reeks?
196	Acteur Koen Crucke speelt Alberto Vermicelli.
197	Hij verklapte al dat je hem ook in ‘Samson & Marie’ zal zien.
198	Het Belgische wielrennen begon vorig weekend opnieuw.
199	De Fransman Sénéchal won zondag de Grote Prijs Vermarc in Rotselaar.
200	Toch was het geen groot feest.
201	Zaterdag was er een oefen-koers in Wortegem-Petegem.
202	In de eerste ronde overleed de 20-jarige Niels De Vriendt.
203	Zijn hart stopte plots met kloppen.
204	Zijn dood is een raadsel.
205	Jonge renners worden vaak getest.
206	De Vriendt had de voorbije jaren geen problemen aan zijn hart.
207	Vele Belgen hebben vakantie.
208	Net zoals andere jaren.
209	Toch is dat door corona anders.
210	De eerste kinderen vertrokken op zomerkamp.
211	Dat gebeurde in kleine groepen en met veel regels.
212	Belgen kunnen niet meer naar grote muziekfestivals.
213	Enkel optredens met 400 bezoekers en genoeg afstand kunnen.
214	De gemeenten aan de kust willen geen drukte op de dijk of het strand.
215	Voor de bezoekers zijn er regels.
216	De eerste duizenden toeristen trokken naar het buitenland.
217	Op het vliegtuig en de trein moet dat met een mondmasker.
218	De oorzaak van alles is corona.
219	Zangeres Laura Lynn is blij.
220	Ze kreeg pas een prijs voor haar liedje ‘Je hebt me duizendmaal belogen’.
221	Dat liedje kwam uit in 2005.
222	Het maakte Laura Lynn bekend in heel Vlaanderen.
223	In 15 jaar kochten nu al 250.000 mensen het liedje.
224	Dat verdiende een prijs.
225	Sue is te zien in een nieuwe clip.
226	Ze zingt het liedje ‘Lean on Me’ van de Amerikaanse zanger Bill Withers.
227	Dat zingt ze samen met dokters en verplegers van de dienst Intensieve Zorgen van het ziekenhuis UZ in Leuven.
228	Zij zorgden de afgelopen maanden voor zieken met corona.
229	Het was voor hen een zware tijd.
230	Met het liedje willen ze die tijd op een mooie manier afsluiten.
231	Koning Filip schreef een opvallende brief.
232	Hij zegt dat hij spijt heeft over het verleden in Congo.
233	Dat verleden bestaat uit geweld en pijn.
234	Daarvoor zorgden Leopold 2 en België.
235	Op 30 juni 1960 kregen de Congolezen een eigen vrij land.
236	Sinds 1885 was koning Leopold 2 er baas.
237	In 1908 nam België Congo over als kolonie.
238	Het waren tijden van geweld en leed.
239	Dat leeft nog altijd bij zwarte Belgen en Congolezen.
240	Dat komt door racisme en de vernedering van vroeger.
241	Geen enkele koning van België begreep dat.
242	Koning Filip doet dat wel.
243	Voor het feest van Congo schreef hij zelf een brief aan de president.
244	Daarin staan zijn gelukwensen en zijn diepe spijt over het verleden.
245	Filip wil ook blijven strijden tegen racisme.
246	Bij witte en zwarte Belgen lokt de brief twee meningen uit.
247	Dat is ook zo in Congo.
248	De ene groep is blij en verrast.
249	De anderen vinden spijt te weinig.
250	Ze willen dat België geld betaalt voor de schade van het verleden.
251	Organisatie GAIA komt op voor de rechten van dieren.
252	GAIA houdt een actie die opvalt.
253	Waarover gaat dat?
254	GAIA roept op om katten te laten steriliseren.
255	Zo worden katten niet zwanger.
256	Katten laten steriliseren is verplicht in Vlaanderen.
257	GAIA schat dat dit nog niet is gebeurd bij 160.000 katten.
258	Daarom kwam er die actie.
259	Er is een andere tekst die opvalt.
260	Knippen die ballen, dan pas knallen.
261	GAIA heeft nog een ander doel.
262	Door de actie moeten er minder katten komen.
263	Dat zorgt dan voor minder katten in een asiel.
264	Zijn er te veel katten in een asiel?
265	Dan moeten die sterven.
266	Ook als ze nog gezond zijn.
267	De regels tegen corona worden weer minder streng.
268	Toch vanaf 1 juli.
269	Dan wordt het leven weer iets meer vrij.
270	Eerst mocht je tien mensen per week zien.
271	Dat was buiten je ‘bubbel’ of gezin.
272	Vanaf 1 juli mag je 15 mensen per week zien.
273	Er is ook nieuws over toneel, muziek en sport.
274	Dat kan weer met toeschouwers.
275	Niet meer dan 200 in een zaal en 400 buiten.
276	Afstand houden blijft wel nodig.
277	Ben je jonger dan 12 jaar?
278	Dan ga je op 1 september weer gewoon naar school.
279	Er is elke dag les, van maandag tot vrijdag.
280	Boven 12 jaar is dat vier dagen per week.
281	Eén dag per week volg je thuis les met de computer.
282	De komende dagen wordt het snikheet in België.
283	Zonnebrand smeren geblazen!
284	Wat doe jij graag als het zo warm is?
285	De Belgische fans mogen gerust zijn.
286	Het Eurovisie-songfestival vindt volgend jaar plaats dicht bij huis.
287	Rotterdam in Nederland blijft de stad waar je naar het bekende festival van liedjes kan.
288	Alles gebeurt op 18, 20 en 22 mei 2021.
289	Niet alle landen sturen hun deelnemers voor 2021 naar Rotterdam.
290	België doet dat met Hooverphonic wel.
291	De groep moet dan een nieuw liedje maken.
292	Het aantal coronazieken in de Belgische ziekenhuizen daalt.
293	Dat is goed nieuws.
294	Slecht nieuws is wel het gedrag van feestvierders.
295	In Brussel kwamen jongeren zaterdagnacht samen op een plein.
296	Ze dansten dicht bij elkaar.
297	De cafés waren al toe.
298	De dansers wilden niet naar huis.
299	Dat gedrag kan niet.
300	Want zo kunnen feestvierders het coronavirus verspreiden.
301	Ook in Hasselt moest de politie feestende mensen naar huis sturen.
302	Goed nieuws komt van Janssen Pharmaceutica.
303	Vanaf juli test het bedrijf een vaccin tegen het virus.
304	Een vaccin is een prik die je krijgt.
305	Daarna kan het virus je niet ziek maken.
306	Werkt het vaccin bij mensen?
307	En gaat alles goed?
308	Dan kan het vaccin er zijn begin 2021.
309	Een Amerikaanse man vond een schat.
310	Die zat in een kleine, oude kist.
311	Daarin zaten goud, juwelen en diamanten.
312	De schat zou ruim 2 miljoen dollar waard zijn.
313	Forrest Fenn verborg de schat.
314	Hij is een rijke handelaar in antiek.
315	Hij wilde mensen op avontuur sturen.
316	Daarom verstopte hij de schat in de bergen.
317	Zeker vijf mensen stierven op zoek naar de schat.
318	Maar het zoeken is nu voorbij.
319	Volgens Fenn heeft iemand de schat gevonden.
320	Meer zei hij er niet over.
321	Sommige mensen denken dat Fenn alles verzon.
322	In Berlaar beet een wolf een koe dood.
323	De koe stond in een weide.
324	Ze had pas een kalfje gekregen.
325	Het bloed van de bevalling trok wellicht de wolf aan.
326	Mensen zagen die wolf ook al in de buurt van Lier en Duffel.
327	In Duffel vond een boer op 6 juni twee dode schapen in zijn weide.
328	Ook die dieren beet de wolf wellicht dood.
329	Volgens het Agentschap Natuur en Bos gaat het om een nieuwe wolf in Vlaanderen.
330	Hij is dan al de vijfde.
331	In New York overleed kunstenaar Christo.
332	Hij werd 84 jaar.
333	Hij werkte altijd samen met zijn vrouw Jeanne-Claude.
334	Samen pakten ze grote gebouwen in.
335	Dat is het parlement van Duitsland.
336	Het inpakken duurde vijf weken.
337	Vijf miljoen mensen gingen kijken naar het kunstwerk.
338	Christo pakte niet alleen dingen in.
339	De toren dreef op een grote vijver in Londen.
340	Hij was gemaakt van 7.506 vaten voor olie.
341	Ze hadden felle kleuren.
342	De Brit Gerwyn Price is de nieuwe wereldkampioen darts.
343	Dat is de sport vogelpik.
344	Price won de finale van het wereldkampioenschap.
345	Dat maakt hem 550.000 euro rijker.
346	De beste Belg was Dimitri Van den Bergh.
347	Zijn bijnaam is ‘Dancing Dimi’.
348	Hij haalde de achtste-finales.
349	Van den Bergh staat nu op plaats 10 op de lijst van beste spelers in de wereld.
350	Dat doet Belgen kiezen voor darts.
351	Steeds meer mensen kopen een darts-bord.
352	In de hele wereld is er protest.
353	Mensen komen op straat tegen racisme.
354	Alles begon met de dood van George Floyd.
355	Een agent doodde die zwarte man.
356	Floyd stierf in de Amerikaanse stad Minneapolis.
357	Daar brak protest uit.
358	Al snel was er in veel steden protest met geweld.
359	Dat is nu voorbij.
360	Maar de protesten gaan verder.
361	Ook in België kwamen veel mensen op straat.
362	Het protest verliep rustig.
363	Mensen hadden maskers op.
364	Toch is er veel kritiek.
365	Samenkomen mag niet in Corona-tijden.
366	Ook waren er rellen aan het einde van de dag.
367	De relschoppers vernielden winkels.
368	Kinderen krijgen gemiddeld op hun 9 jaar een smartphone.
369	In 2018 was dat gemiddeld nog op hun elf jaar.
370	Dat zeggen onderzoekers uit Gent.
371	Zij stelden vragen aan duizenden kinderen van 6 tot 18 jaar.
372	De vragen gaan over smartphones en computers.
373	Waarvoor gebruiken kinderen die?
374	Vooral om filmpjes te kijken en spelletjes te spelen.
375	Kinderen en jongeren sturen elkaar ook veel berichten.
376	Bijna alle jongeren gebruiken sociale media.
377	Vooral TikTok, Instagram en Snapchat vinden ze leuk.
378	Jongeren gebruiken niet vaak Facebook.
379	Maar ongeveer 1 op de 10 gebruikt die app.
380	In de Verenigde Staten is veel protest.
381	Alles begon in de stad Minneapolis.
382	Daar doodde een agent een zwarte man.
383	Die man had niets misdaan.
384	George Floyd leek op een verdachte.
385	Vier agenten hielden hem aan.
386	Eén agent duwde hem op de grond.
387	De agent zette zijn knie in de nek van Floyd.
388	De agent bleef zitten.
389	Even later was Floyd dood.
390	Daarna brak groot protest uit.
391	Zaterdag, 30 mei 2020 ging een raket de ruimte in.
392	Daarin zaten astronauten.
393	Het is geen raket van een land.
394	De raket is van het bedrijf Space X.
395	Het was de eerste bemande vlucht van Space X.
396	De astronauten kwamen aan bij het ISS.
397	Dat is een station in de ruimte.
398	De zakenman Elon Musk bezit Space X.
399	Hij heeft een droom.
400	Musk wil mensen laten reizen naar Mars.
401	Hij wil dat ze daar ooit wonen.
402	Gisteren overleden 42 mensen aan corona.
403	Het virus maakte al meer dan 9.400 doden.
404	Dat laat de overheid weten.
405	Daar zijn er steeds minder zieken.
406	Het zijn er nu al minder dan 1.000.
407	Er komen wel nog altijd besmette mensen bij.
408	Gisteren waren het er 212.
409	De kenners maken zich niet ongerust.
410	De toestand wordt steeds beter.
411	Goed nieuws voor de fans van ‘Thuis’.
412	Hun favoriete reeks is nu niet meer op tv-zender Eén.
413	Maar de makers bedachten een nieuw luister-verhaal.
414	Dat heet ‘Ik, Karin’.
415	Het gaat over advocate Karin Baert.
416	Kader Gürbüz speelt die rol.
417	Elke dag kan je een nieuwe aflevering horen in het programma ‘De Madammen’ op Radio 2.
418	J e vindt het verhaal ook als podcast op de website een.be.
419	Regi Penxten houdt van feestjes met veel mensen.
420	Zo treedt hij graag op in het Sportpaleis in Antwerpen.
421	Op 1 mei 2021 staat hij er zelfs alleen, zonder zijn groep Milk Inc.
422	Niemand weet of dat concert kan plaatsvinden.
423	Dat houdt de fans niet tegen.
424	Regi verkocht al meer dan 5.000 kaartjes.
425	Gisteren moesten 48 mensen naar het ziekenhuis door het corona-virus.
426	Ook dat zijn er meer dan eergisteren.
427	Dat zijn er maar enkele minder dan bij de cijfers van zaterdag.
428	Het aantal nieuwe zieken ligt dus wellicht nog hoger.
429	Dat kan een huis zijn of een caravan, aan zee, in de Ardennen of elders.
430	Sinds vorige donderdag mag het wel.
431	Volgens de Veiligheidsraad moeten ze niet wachten op de nieuwe regels van 8 juni.
432	Hij zegt dat de kust niet klaar is om deze mensen te ontvangen.
433	De Rode Duivels zijn blij.
434	Roberto Martinez blijft bij hen.
435	Martinez is de trainer van de ploeg.
436	Hij blijft dat zeker tot de zomer van 2022.
437	In 2022 is het wereld-kampioenschap in Qatar.
438	De Rode Duivels willen er de titel pakken.
439	Met Martinez moet dat lukken.
440	Martinez maakte de Duivels tot een superploeg.
441	Alleen een grote titel ontbreekt nog.
442	Volgend jaar is er een eerste kans.
443	De Duivels willen dan Europees kampioen worden.
444	Er waren zware rellen in Washington.
445	Dat is de Amerikaanse hoofdstad.
446	De rellen waren aan en in het parlement.
447	Duizenden betogers waren bij het parlement.
448	Het parlement moest de nieuwe president goedkeuren.
449	Dat is Joe Biden.
450	Hij won de verkiezingen van president Trump.
451	Trump noemt dat leugens.
452	Hij vroeg zijn fans om te betogen.
453	Zo vielen betogers het parlement binnen.
454	Er waren gevechten met agenten.
455	Dat geweld maakte vier doden.
456	Het leger en de politie beschermen het parlement nu.
457	Prinses Elisabeth is 18 jaar.
458	Ze is de oudste dochter van koning Filip.
459	Ze zit nu in haar laatste jaar middelbaar.
460	Dit jaar haalt ze haar diploma.
461	Elisabeth heeft deze zomer vakantie.
462	Daarna begint ze aan hogere studies.
463	Ze gaat een jaar naar de school van het leger.
464	Daar zal ze les krijgen zoals de soldaten.
465	Elisabeth wordt later koningin van België.
466	Ze zal dan ook de baas zijn van het leger.
467	Haar lessen bij het leger zijn dus zeker nuttig.
468	Gisteren zijn 42 mensen gestorven door corona.
469	Dat is iets meer dan zondag en maandag.
470	Maar 160 mensen mochten naar huis.
471	Dus zijn er bijna 100 mensen minder in het ziekenhuis.
472	Ook hebben minder mensen intensieve zorgen nodig, 32 minder dan gisteren.
473	De besmettingen dalen elke dag met ongeveer 4%.
474	Er waren gisteren in totaal 192 nieuwe besmettingen.
475	Maar niet iedereen moet naar het ziekenhuis.
476	Sommige mensen zijn niet zo ziek.
477	Zij kunnen thuis genezen, maar mogen met niemand contact hebben.
478	Adil El Arbi en Bilall Fallah zijn Belgische filmmakers.
479	Zij kregen goed nieuws uit Hollywood.
480	Ze mogen de films ‘Bad Boys 4’ en ‘Beverly Hills Cop 4’ regisseren.
481	Het is niet bekend wanneer die films uitkomen.
482	Dat komt door het corona-virus.
483	De twee Belgen maakten pas nog de Amerikaanse film ‘Bad Boys 3’.
484	Dat was een grote hit.
485	Daarom krijgen ze nu meer werk in Hollywood.
486	Tussen hen staan Will Smith en Martin Lawrence, twee bekende Hollywood acteurs.
487	Er is een crisis bij Brussels Airlines.
488	Dat is een bedrijf voor luchtvaart.
489	Het coronavirus is de oorzaak van de crisis.
490	Het bedrijf is van het Duitse Lufthansa.
491	Wil Brussels Airlines overleven?
492	Dan heeft het 290 miljoen euro nodig.
493	De Belgische staat wil dat geld geven.
494	Maar Lufthansa wil geen invloed van politiek.
495	Toch is er hoop op een akkoord.
496	Tegen 2023 kan Brussels Airlines weer groeien.
497	Ali woonde in Peru.
498	Toen het corona-virus uitbrak, kwam ze terug naar België.
499	Ze nam een katje mee dat op straat leefde.
500	Het katje heet Lee.
501	Maar dat mag niet zomaar.
502	Want in Peru kunnen dieren hondsdolheid hebben.
503	Dat is een heel gevaarlijk virus, ook voor mensen.
504	De dienst FAVV van de overheid zegt dat Lee niet mag blijven leven.
505	Maar Selena Ali wil het katje niet afgeven.
506	Ze heeft het verstopt.
507	Een rechter moet op 29 mei beslissen over de zaak.
508	Nu weten we dat dat niet waar is.
509	Zo wil de stad tonen dat iedereen welkom is.
510	Op 12 mei was er in de stad Luik nog een aanval op een groep holebi’s.
511	Koning Filip liep 19 kilometer voor een goed doel.
512	De afstand is geen toeval.
513	Het corona-virus zorgt voor de ziekte Covid-19.
514	Iedereen mocht op zondag 10 mei deze afstand lopen.
515	De opbrengst ging naar Robin Food.
516	Dat project deelt gratis soep uit aan mensen die nu in armoede leven.
517	Robin Food maakt soep van overschotten van groenten bij boeren.
518	Dat geeft problemen.
519	Veel kinderen mogen pas in september terug naar school.
520	De Commissaris zegt dat de overheid niet genoeg denkt aan de kinderen.
521	Daarom wil minister Dalle dat de speelpleinen weer opengaan.
522	Sinds 24 april is er geen ‘Thuis’ meer op tv.
523	Het corona-virus maakte een einde aan nieuwe opnames.
524	De makers en acteurs van de bekende tv-reeks geven het niet op.
525	Ze deden al een test voor nieuwe opnames.
526	Ze filmden een aflevering van ‘Thuis’ opnieuw.
527	Daarbij volgden ze de regels tegen corona.
528	Dat betekent 1,5 meter afstand houden.
529	Lukt dat voor de acteurs?
530	Met liefde en vriendschap in het verhaal?
531	We doen daar nu alles.
532	We kijken thuis films en series op tv.
533	Via sociale media houden we contact met anderen.
534	Zij zien het verbruik van internet fel stijgen.
535	En hun gesprekken duren langer.
536	Corona of covid-19.
537	Dat virus was voor 2020 onbekend.
538	Plots was het er.
539	En het zou er blijven.
540	Het virus tast de longen aan.
541	Je kan eraan sterven.
542	En dan is er nog de besmetting.
543	Het gaat over van mens op mens.
544	Zo startte alles in China.
545	In maart was het virus in België.
546	De regering legde het land stil.
547	De regels werden streng.
548	Maar corona ging nooit helemaal weg.
549	Er waren zeker twee golven van het virus.
550	Het virus maakt minder slachtoffers.
551	De voorbije 24 uur overleden 82 mensen aan corona.
552	De onderzoekers blijven tevreden.
553	Die zullen het leven wellicht terug meer normaal maken.
554	Er is werk nodig aan veel bruggen.
555	De Vlaamse overheid zorgt voor 2.649 bruggen.
556	Eén op de vijf ervan is in slechte staat.
557	Het gaat om 593 bruggen.
558	Veel bruggen zijn gebouwd in de jaren 1970.
559	Het beton is op sommige plekken versleten.
560	Soms is het staal in de brug roestig.
561	Er rijden nu ook veel meer auto’s dan vroeger.
562	Daardoor verslijten bruggen sneller.
563	De Vlaamse overheid ziet het probleem.
564	Ze wil de slechtste bruggen snel herstellen.
565	Sinds maart maakte het virus nu al zeker 8.700 doden.
566	Want er blijven meer gezonde mensen vertrekken.
567	Het ging de voorbije 24 uur over 368 Belgen.
568	Zal het aantal besmettingen sterk stijgen?
569	Die zijn minder streng.
570	Dat wil zeggen buiten je eigen gezin.
571	Ze moeten wel afstand houden.
572	Die kennen zelden 4 mensen in groep.
573	Vanaf 4 mei speurt de overheid mensen met corona op.
574	Dat doen coronaspeurders.
575	Maar de overheid moet nog veel speurders vinden.
576	Coronaspeurders bellen mensen met corona op.
577	Wie zagen die besmette mensen de laatste twee weken?
578	Samen maken ze een lijst met namen.
579	Dan belt de speurder die mensen op.
580	Zij moeten dan twee weken thuis blijven.
581	Zo kunnen zij niemand besmetten.
582	Ze vliegen ook niet meer op.
583	Dat kan op meldpunt@vogelbescherming.be.
584	Het virus maakt steeds minder doden en minder zieken.
585	Zaterdag overleden wel nog 79 mensen door corona.
586	Van hen krijgen er 674 zware zorgen.
587	De overheid vraagt iedereen wel om zich aan de regels te houden: afstand houden van anderen, handen wassen en thuisblijven als het kan.
588	Op trein, tram en bus moet je vanaf 4 mei een mondmasker dragen.
589	Ook leerlingen die ouder zijn dan 12 jaar moeten er één dragen.
590	Er zijn dus snel veel mondmaskers nodig.
591	Sommige gemeenten gaan maskers uitdelen.
592	Je kan ze ook zelf maken, met of zonder naaimachine.
593	Mondmaskers zijn belangrijk om je te beschermen.
594	Maar je moet ook altijd je handen wassen en afstand houden.
595	De bazen van de Ronde van Frankrijk hebben beslist.
596	De grootste wedstrijd wielrennen komt er dit jaar toch nog.
597	De Tour zal starten op 29 augustus.
